,page,pageviews_x,pageviews_y,category,delta,pagecount,tmp
256168,Estate_of_Panic,8,97.0,2000s_American_television_series,-0.9175257731958762,2165,1
1185744,The_Charlotte_Church_Show,6,159.0,2000s_British_television_series,-0.9622641509433962,1134,1
269121,Fat_Choi_Spirit,23,55.0,2000s_comedy_films,-0.5818181818181818,958,1
866731,No_Direction_Home,41,54.0,2000s_documentary_films,-0.2407407407407407,710,1
724702,Mano_Po,12,60.0,2000s_drama_films,-0.8,1978,1
1303088,We_Love_Life,10,58.0,2001_albums,-0.8275862068965517,978,1
440305,Irene_von_Meyendorff,12,67.0,2001_deaths,-0.8208955223880597,1691,1
482931,Japanese_Devils,7,28.0,2001_films,-0.75,787,1
1341288,You're_My_Mate,7,21.0,2001_singles,-0.6666666666666667,649,1
304936,Full_Circle_(Boyz_II_Men_album),30,185.0,2002_albums,-0.8378378378378378,973,1
466048,James_Copeland_(actor),17,115.0,2002_deaths,-0.8521739130434782,1779,1
1189608,The_Escapist_(2002_film),8,23.0,2002_films,-0.6521739130434783,851,1
1145644,Still_Fighting_It,16,66.0,2002_singles,-0.7575757575757576,645,1
633460,Killing_Joke_(2003_album),29,229.0,2003_albums,-0.8733624454148472,1109,1
379816,Harold_Amos,8,23.0,2003_deaths,-0.6521739130434783,1819,1
407163,High_Roller:_The_Stu_Ungar_Story,9,29.0,2003_films,-0.6896551724137931,922,1
68717,Chihuahua_(song),13,37.0,2003_singles,-0.6486486486486487,771,1
1075213,Scissor_Sisters_(album),59,766.0,2004_albums,-0.922976501305483,1140,1
163750,Deaths_in_July_2004,14,65.0,2004_deaths,-0.7846153846153846,1932,1
701641,Love_of_May,8,192.0,2004_films,-0.9583333333333334,1018,1
1164751,Take_Your_Mama,16,117.0,2004_singles,-0.8632478632478633,774,1
411731,Holy_Fuck_(album),6,35.0,2005_albums,-0.8285714285714285,1159,1
